Location,X,Y
Lifestyles Walton,-2.9537263289809,53.4453177604579
Liverpool Hope University Sports Centre,-2.8922988,53.3908007
Alder Sports and Social Club,-2.9043795,53.4200392
Deysbrook Village Community Centre,-2.89183719253752,53.4349124229863
Greenbank Sports Academy,-2.92973078718619,53.385121042587
Lifestyles Austin Rawlinson,-2.8410268846211,53.3426869082126
Bridge Community Centre,-2.93423559442452,53.4422506958238
Aintree Baptist Church,-2.955906,53.465506
Lifestyles Croxteth,-2.89612910828409,53.4567800189299
St Johns Shopping Centre,-2.9802239,53.4077023
University of Liverpool Gym,-2.9658343,53.4034334
Lifestyles Alsop,-2.9659644878654,53.4472809255278
Lifestyles Ellergreen,-2.91897754357659,53.44520366603
Exhibition Centre Liverpool,-2.9894132,53.3947805
Lifestyles Garston,-2.89771114498426,53.3607761514525
Merseyside Caribbean Centre,-2.9618069,53.3964785
Liverpool FC Anfield Stadium,-2.960992,53.431296
Liverpool Tennis Centre,-2.92549222152578,53.3955188331087
Lifestyles Park Road,-2.9681361,53.3870763
LJMU IM Marsh Sports Hall,-2.91991318806603,53.3679033982419
St Stephen's Parish Centre,-2.85627464233588,53.3875927574624
Invisible Wind Factory,-3.0000343,53.418977
Croxteth Hall,-2.89149354734548,53.4406593845382
Devonshire Hotel,-2.94128048763764,53.4090246830588
Catholic Conference Centre (LACE),-2.93457547016499,53.3893277054
David Lloyd Liverpool Speke,-2.8802834,53.3489188
Heath Hall Sports & Social Club,-2.89770744484237,53.366178275866
St Hilda's Parish Hall,-2.8595674,53.3608161
Lee Jones Centre,-2.9838424,53.4202968
15th Fairfield Scout Group,-2.90565347422132,53.4082659050763
"St Luke's Church, West Derby",-2.8771799,53.4309068
Woodlands Community Centre,-2.82847162627498,53.3826058483362
East Wavertree & Childwall Community Association,-2.895554168932,53.3949237018774
Kirkdale Community Centre (The Gordon),-2.9850284,53.4332437
Salvation Army Belle Vale,-2.86620948001381,53.3960496469652
Aintree Racecourse,-2.9551502853356,53.4749643391928
Eldonian Village Community Hub,-2.9907260067828,53.4194734023609
